file_id,t1,la1,mu_over_la1,psi,la2_multiplier,n_tips
1,7.7552434652946625,0.30043568854069436,0.5831494601666939,0.7180565658792196,2.4229756809167653,261
4,4.3987820547209155,0.04371852540341218,0.5104197749951046,0.42225447860409115,4.203602315599495,852
6,5.408793766184015,0.3963549294046553,0.4139396181424662,0.9055473860461155,3.557957517873473,172
10,6.679695657949069,0.693648987231933,0.8945587445961727,0.48759439667288584,2.3994386045416247,655
7,7.1794079274206,0.5921996374191765,0.06348320041832356,0.7598635016712403,3.017225252812257,537
2,4.9942067651972,0.538228952555818,0.3142603776876663,0.33555304776708617,2.860878456174742,250
13,4.797530395702377,0.32293194769234307,0.6739708900277248,0.9074404640899766,2.599894925024901,428
8,7.577748174194992,0.26857292508488023,0.7341757620647741,0.42868023163470936,3.36117026841289,324
9,4.254373427632801,0.4533126942956643,0.5419995869985705,0.8002239321970936,2.0655115262342507,485
15,4.619673960087382,0.37811846119029185,0.002906470781598958,0.8314499157213895,2.7688595282036186,635
16,7.798407380203095,0.38591401008521037,0.5990473317104783,0.7523697776936369,3.837926677566,230
5,7.061098697556308,0.46311439135542015,0.5857365515927261,0.7668113482948624,4.246990529244695,717
19,5.578572610693893,0.17683518326706835,0.687684317509039,0.2018755129437818,2.0919387871351214,406
20,5.638242175272051,0.04197654318126512,0.6899572149527085,0.40629486107838486,2.4069809027090323,209
17,6.196752859962842,0.5643670742860573,0.4958679572614943,0.6561945072348044,2.342786127047226,842
14,4.4287396959555805,0.0469285295864858,0.2223971058194975,0.5440467640474437,2.153880450975242,776
3,4.472276538594688,0.791445302847318,0.5286158582959442,0.8599410576917735,2.5381498308504606,585
24,4.003566917708712,0.2730782329736287,0.45928259873163296,0.5685432570321625,2.7955989678460833,747
21,5.812767941148036,0.7921199639595372,0.8914578303666097,0.6029616532380898,3.449922273203301,526
11,6.997829813614132,0.3293882419752143,0.46601373941835705,0.20065277561262584,4.122305308202067,985
0,4.482160777589349,0.49781739572611844,0.0661913254151587,0.7086650005069864,2.018186164431337,149
28,5.794893179498178,0.35532738338049386,0.014003509076541732,0.8012747688597982,2.498723685432668,388
22,6.773070086244548,0.025004188993084764,0.1289428039683582,0.7829375356424028,3.6146153393448968,133
23,5.625256707055929,0.2693241808980891,0.05846649744837702,0.13246864982934473,3.400808838137454,150
