tree_id,lambda1,lambda2,mu,psi,t_1,n_tips,height,is_ultrametric
1,0.50130426408723,2.33645408526682,0.163378467234306,0.66359076872468,95.2373827435076,385,18.4148957764,False
2,0.554705908079632,1.38849035413409,0.0989646029340157,0.709462761506438,44.5412719994783,291,21.2212596892,False
3,0.360679710563272,1.36033078350712,0.0307848848327345,0.815313246846199,56.6179843060672,257,22.47510298957,False
4,0.665121871256269,2.24130677347312,0.102424934807055,0.743478377349675,22.0612554810941,379,11.883408408159998,False
5,0.874817119608633,3.41745201763165,0.178525630729587,0.87975020352751,32.3494728840888,138,8.783605080720001,False
6,0.564294667961076,2.6691453880311,0.152139174654034,0.61195458676666,32.1096863038838,375,13.12837467401,False
7,0.515207001008093,1.55979858702065,0.140202349263078,0.658543115202338,93.3151095733047,276,20.82902886043,False
8,0.998128488403745,2.18280349230183,0.349277186485373,0.886037407629192,88.4368412196636,342,7.632156063680002,False
9,0.441854128777049,0.978145730603499,0.123091546928067,0.587161690369248,86.3078606128693,148,20.790158449,False
10,0.653245561756194,2.56566800104169,0.176494769644435,0.754449325893074,57.2126207500696,139,12.370874627100001,False
11,0.888637789501808,3.01454911925466,0.087325638871307,0.558618554193526,39.8569691553712,199,9.73250408736,False
12,0.549485397571698,2.07590863161438,0.21928154717055,0.646690732613206,87.2989705018699,143,18.839498065,False
13,0.867680806806311,2.91794035569137,0.0538881124118087,0.851375985983759,58.4153129160404,267,11.294430162609999,False
14,0.955925456504337,3.81526657602751,0.296080909041869,0.725613865442574,37.6454229094088,326,8.5885516913,False
15,0.629345982545055,2.07420722342156,0.0936133812684816,0.52795456983149,43.0966542102396,122,11.591513651,False
16,0.917430952936411,3.46171464898444,0.166892634645778,0.548786892183125,93.0043838173151,99,7.76913851259,False
17,0.780448123929091,1.89707509181081,0.136419605599529,0.543703666236252,95.3856828063726,189,8.68439932655,False
18,0.962304135039449,3.61833343932974,0.145869369935821,0.697937869373709,52.8714497387409,300,9.295715893449998,False
19,0.864080634736456,2.41586347433255,0.063172948592283,0.76793999010697,59.985566213727,136,9.270281193799999,False
20,0.364479610696435,1.40819680250831,0.0988193011747246,0.842664645891637,58.7407644093037,136,19.6857004291,False
21,0.442201718664728,1.40036939411036,0.0534603424954858,0.60306077869609,40.9300531633198,107,17.731179398899997,False
22,0.526344873989001,1.3955465748663,0.199579673406851,0.833513164520264,83.5226029902697,337,18.322956618200003,False
23,0.377611936093308,1.01699959181374,0.0642141790560795,0.701637288741767,55.6177281215787,212,31.978163664999997,False
24,0.698591512301937,1.75218729614174,0.261995466291311,0.506113711092621,33.2014627195895,363,19.506823246,False
25,0.928404875705019,4.54724156520962,0.365321428918339,0.663806845340878,34.6465967968106,373,9.08796230204,False
26,0.917738919262774,4.28702331062769,0.262475014667121,0.660891612246633,46.551574934274,301,8.3942675506679,False
27,0.853335471102036,1.87377164869787,0.279930575034256,0.601602919772267,27.3434972576797,353,8.9918145066,False
28,0.695639008795843,3.29946750694867,0.192002210536923,0.650082440767437,32.5086792185903,190,13.30271317973,False
29,0.511937520746142,2.23719922464255,0.147631458452135,0.565722483582795,97.7568286471069,112,15.312472265099998,False
30,0.33319626362063,0.817008661306656,0.0836284221285487,0.703412352781743,31.6899956017733,338,28.764146014599998,False
31,0.769969278341159,2.65803728329965,0.130139799684408,0.833187956642359,83.6668915301561,85,7.572302881559999,False
32,0.826398800686002,2.59476487713642,0.226604025362574,0.692437672335654,74.8112705908716,90,9.50949329322,False
33,0.301707188808359,1.49255449493764,0.104747627206848,0.628517538122833,91.511158645153,156,28.1732595489,False
34,0.356663641612977,0.772386080150768,0.0487303503048875,0.814280936587602,75.8447695337236,168,18.1455832663,False
35,0.695124866371043,3.43140450756563,0.265454714740642,0.618227267917246,90.8866801299155,148,11.61698831927,False
36,0.730314847198315,1.96404110239508,0.132364988603622,0.866343870945275,77.4305165372789,190,14.210157979720002,False
37,0.506105340528302,1.55140734636314,0.162245272723078,0.518862316943705,69.657965246588,100,13.492975144599999,False
38,0.63865350750275,2.02204482770969,0.116356750981783,0.896896846219897,63.9885003864765,345,16.37615118613,False
39,0.687032165541314,2.67609120321557,0.178282184338221,0.839979596529156,39.0627690590918,276,15.615043382620001,False
40,0.552517279563472,2.22851152237002,0.163414035516046,0.661233477946371,36.3957626372576,132,17.347547508199998,False
41,0.310296674701385,1.183364252248,0.0338960169497349,0.829493146017194,31.557051744312,327,26.995292701900006,False
42,0.59735114548821,2.91058677661112,0.230425419890373,0.848657892085612,84.6555605903268,368,18.563198735426,False
43,0.737715467833914,3.28707337191049,0.155261812358667,0.814968416281044,78.1082150898874,371,12.661982354960001,False
44,0.94726805917453,4.47494041528373,0.357614555554646,0.866831271070987,52.6328902691603,297,9.610233961199999,False
45,0.47769275540486,2.29080401889266,0.0630191614743307,0.818082465231419,79.629939943552,308,17.51645240053,False
46,0.565691268723458,2.5726176762994,0.147634836497645,0.74824307654053,41.972427200526,325,16.87498755174,False
47,0.45939633846283,2.11326817247612,0.155447497347292,0.854538673814386,20.242191106081,195,19.036001149399997,False
48,0.525554269389249,2.3105890021305,0.205142527465832,0.784411982260644,22.8086554445326,90,10.339829379029998,False
49,0.605018293927424,2.39584684392498,0.225676908566028,0.723312382772565,99.5130981318653,269,14.274097957899999,False
50,0.888129536411725,3.34380340242483,0.233514460530397,0.702181101124734,60.6116925552487,159,9.36060681667,False
51,0.82020253604278,3.29497102783397,0.12547127718717,0.630869449768215,66.4875172451138,189,13.0153675713,False
52,0.341332251671702,1.56591777878685,0.0681917361131165,0.861962465941906,82.7979932539165,199,30.050860145660003,False
53,0.782535180775449,2.53519599718278,0.264456438890878,0.515989495627582,56.9379232265055,85,10.94003008085,False
54,0.339754783874378,0.983252519483998,0.0443601679990787,0.570873089227825,76.2119201943278,186,22.50362008957,False
55,0.889085911400616,4.42800039220094,0.070180452428885,0.877900623902679,53.1224704161286,188,8.2961527907,False
